data,ora,Lat N,Long E,prof (km),Md
07/01/15,04.59.39.67,37.704,15.042,0.91,2.8
03/07/01,05.02.33.76,37.635,14.944,2.27,1.7
10/12/16,17.13.08.08,37.754,15.007,1.53,1.7
08/11/13,05.41.45.59,37.739,15.067,3.46,1.3
09/16/25,17.58.32.66,37.749,15.111,3.07,1.2
07/01/13,00.09.13.99,37.719,15.018,1.45,2.1
10/16/03,13.31.58.53,37.746,15.133,7.7,1.4
11/06/21,00.43.26.58,37.741,15.08,1.45,1.5
09/15/02,06.39.45.80,37.753,15.006,0.92,1.5
08/07/26,23.50.50.28,37.635,15.143,0.28,2.3
03/10/19,04.24.26.31,37.745,15.062,4.96,1.4
08/04/22,22.53.50.65,37.736,15.051,2.76,1.9
06/16/20,05.32.46.32,37.683,15.104,5.26,2.3
07/04/14,17.38.34.92,37.737,15.055,3.99,1.7
07/01/12,23.32.14.71,37.714,15.017,1.31,2.4
03/12/25,21.02.29.97,37.692,15.107,7.,3.2
02/12/15,15.54.03.30,37.755,15.11,5.65,1.6
07/01/15,00.24.30.31,37.692,14.977,-1.4,2.5
07/04/18,19.57.04.35,37.746,15.09,1.55,1.2
12/02/03,13.50.25.24,37.795,15.089,3.95,3.0
10/02/27,01.01.40.91,37.754,15.012,1.04,2.7
07/06/24,23.39.22.45,37.744,15.098,5.,1.3
01/08/05,17.25.07.91,37.688,15.103,0.84,1.5
12/03/02,04.24.23.91,37.721,15.044,2.97,1.5
12/07/23,15.14.32.39,37.727,15.1,3.97,1.2
04/02/04,11.29.20.63,37.717,15.067,3.57,2.0
08/06/25,07.07.30.17,37.742,15.056,4.57,1.4
04/15/26,05.47.12.70,37.806,15.062,-0.06,1.2
10/02/29,03.06.50.11,37.802,15.048,2.11,2.8
10/02/30,15.25.43.31,37.812,15.122,3.17,3.2
07/09/30,10.58.55.24,37.716,15.157,9.21,1.4
03/08/26,02.04.57.51,37.678,15.151,0.2,1.8
08/08/15,17.49.48.95,37.677,15.026,4.44,1.7
09/06/21,15.33.47.69,37.733,15.044,2.18,1.1
03/09/14,13.50.17.98,37.732,15.094,5.79,1.9
11/02/04,10.54.20.57,37.75,15.061,2.72,3.1
10/09/23,17.17.12.20,37.755,15.005,1.94,1.6
05/08/13,08.59.18.83,37.753,15.006,0.42,1.6
05/08/02,12.04.56.23,37.818,15.082,-1.57,3.0
11/15/13,00.07.23.92,37.744,15.103,4.24,1.0
11/16/24,22.42.54.22,37.646,14.937,0.82,1.7
09/12/03,17.31.43.59,37.742,15.053,3.45,2.1
04/04/23,19.24.04.88,37.741,15.056,3.01,2.1
07/01/22,12.32.13.83,37.689,15.06,-0.09,3.3
08/05/12,00.57.36.50,37.759,15.1,4.28,1.2
06/12/17,21.39.24.61,37.802,15.035,0.3,1.9
08/06/24,02.09.41.83,37.736,15.077,4.82,1.0
02/04/12,04.24.43.60,37.745,15.065,5.91,1.5
06/06/28,17.26.46.55,37.752,15.006,2.37,1.4
07/15/19,09.16.26.47,37.813,15.065,-0.67,2.3
05/07/09,18.50.11.11,37.694,14.975,2.76,3.0
04/06/29,04.56.29.76,37.717,15.107,6.46,1.6
10/02/30,21.14.42.43,37.735,15.057,3.,2.5
07/01/18,00.20.59.24,37.706,15.011,-0.34,3.0
07/01/13,13.43.15.06,37.715,15.019,2.56,2.6
07/01/13,05.59.13.04,37.721,15.018,2.3,2.6
04/10/03,03.15.56.72,37.802,15.03,0.11,1.9
07/06/29,22.08.23.60,37.746,15.062,3.08,1.3
08/12/19,08.54.07.25,37.815,15.12,2.2,1.7
07/09/21,13.06.59.55,37.668,15.13,-1.2,1.5
04/07/19,23.53.19.56,37.687,15.105,4.09,1.3
07/14/01,02.11.08.99,37.738,15.07,2.,1.0
11/01/04,22.11.39.87,37.725,15.08,5.3,1.5
07/06/08,10.08.42.02,37.751,15.006,1.69,2.3
08/06/10,23.15.13.51,37.679,14.946,0.24,1.5
04/04/01,15.37.37.72,37.745,15.046,3.07,1.7
12/16/31,22.04.08.17,37.716,15.015,4.9,1.3
07/09/21,07.23.21.27,37.682,15.116,2.04,1.3
02/08/14,22.58.08.24,37.811,15.098,-0.25,2.8
11/02/24,06.55.55.56,37.686,15.081,4.13,2.7
04/07/29,20.53.52.02,37.727,15.103,4.32,2.3
02/16/21,02.30.18.06,37.660,15.093,3.59,1.5
10/07/11,16.31.14.69,37.732,15.051,4.36,1.4
08/05/17,10.34.02.37,37.693,15.141,6.28,1.6
07/01/16,01.25.37.09,37.713,15.006,-1.58,3.0
09/16/29,07.07.09.40,37.728,15.116,6.92,1.6
05/08/17,12.37.36.92,37.745,15.068,1.17,1.2
09/16/25,12.14.21.68,37.745,15.110,3.86,1.8
09/06/23,05.47.22.49,37.72,15.083,2.37,1.1
02/04/10,19.23.01.21,37.808,15.103,2.21,2.6
03/04/11,20.42.33.97,37.731,15.09,4.81,1.0
05/08/06,04.20.08.42,37.815,15.046,0.25,1.9
11/02/01,01.29.51.55,37.796,15.039,3.8,2.5
07/07/03,19.49.06.11,37.715,14.915,5.96,1.8
09/14/23,04.09.29.79,37.808,15.047,0.38,1.2
11/07/20,23.46.12.85,37.71,15.064,0.75,1.1
10/02/27,02.42.11.80,37.813,15.097,2.12,3.4
07/01/23,10.54.42.29,37.647,15.107,0.27,2.6
08/03/09,06.32.53.14,37.737,15.095,5.95,2.0
04/16/01,07.52.24.84,37.741,15.046,8.41,1.3
06/06/12,12.41.17.61,37.675,15.077,3.76,2.0
10/16/12,01.19.56.35,37.720,15.013,3.11,1.6
07/11/05,13.58.00.12,37.756,15.002,1.67,1.6
10/10/03,09.35.44.99,37.756,15.005,1.41,1.5
11/02/04,10.52.35.59,37.75,15.063,2.12,3.0
04/01/28,12.41.13.85,37.727,15.03,4.79,2.7
06/05/09,07.53.19.53,37.686,15.089,3.95,2.0
09/09/15,01.33.03.27,37.734,15.064,6.58,1.3
05/08/14,04.31.37.69,37.746,15.046,0.22,1.4
12/12/04,16.26.26.57,37.673,15.15,1.1,1.8
08/12/12,04.50.28.37,37.811,15.098,1.52,2.9
10/07/09,03.22.09.50,37.667,15.044,4.85,1.8
03/16/11,00.47.01.14,37.715,15.079,3.95,0.9
07/01/13,18.04.27.78,37.693,14.958,-0.01,2.6
03/12/06,05.32.05.52,37.658,14.849,1.97,2.3
02/07/19,03.07.16.78,37.71,15.067,2.98,2.2
07/01/13,04.49.45.34,37.707,15.042,1.2,2.6
04/16/27,01.20.13.61,37.720,15.161,1.13,1.6
02/16/25,14.49.56.43,37.691,15.132,5.21,1.8
07/02/08,09.52.53.22,37.648,15.06,2.08,2.8
03/12/02,23.54.27.54,37.762,15.104,6.22,1.4
07/01/17,02.40.08.27,37.713,15.008,-1.16,3.4
05/08/16,04.55.23.65,37.732,15.072,0.95,1.4
03/04/04,19.39.30.18,37.705,15.07,3.68,1.4
11/02/07,09.03.18.34,37.691,15.125,1.75,2.3
05/09/16,11.57.27.17,37.72,15.147,1.05,1.9
11/05/05,03.11.36.09,37.654,15.057,3.98,1.6
05/05/05,18.53.04.48,37.639,15.123,0.01,2.4
07/15/17,12.11.34.77,37.804,15.033,-1.56,1.8
06/08/09,07.51.04.75,37.641,15.123,2.62,1.7
07/09/23,23.56.20.47,37.698,15.093,1.36,1.5
11/16/14,21.02.49.34,37.688,14.966,3.36,1.6
07/04/09,23.21.27.50,37.689,15.077,5.27,2.1
08/10/07,05.12.57.34,37.76,15.087,3.36,1.1
07/01/13,07.30.38.54,37.707,15.017,2.34,2.4
04/07/19,22.10.34.05,37.8,14.828,7.96,2.8
11/09/21,00.25.59.34,37.74,15.045,2.29,1.2
11/02/03,05.36.02.90,37.731,15.052,2.64,2.5
04/06/10,07.50.21.23,37.718,15.066,3.49,1.7
05/06/28,13.07.59.47,37.734,15.076,3.09,1.7
09/08/29,01.46.30.68,37.724,15.118,5.75,2.2
10/16/25,18.59.29.85,37.683,14.925,0.06,1.8
03/01/12,12.22.28.61,37.746,14.994,0.85,2.5
07/01/15,08.56.52.56,37.725,15.004,0.23,2.6
08/12/19,06.39.38.39,37.815,15.123,2.43,2.0
04/08/09,12.13.49.19,37.81,15.068,-0.27,1.2
10/02/29,08.34.33.76,37.811,15.125,3.04,2.9
12/03/20,02.57.38.23,37.735,15.082,6.04,2.6
08/09/11,18.40.13.31,37.682,15.111,2.11,2.0
03/08/09,03.27.40.56,37.643,15.051,0.88,2.2
07/01/15,21.22.27.25,37.719,14.998,-1.59,2.8
05/04/16,04.00.05.53,37.793,15.155,8.61,2.0
09/16/25,19.49.11.91,37.721,15.148,1.7,0.9
10/16/05,09.21.35.10,37.735,15.054,3.4,1.7
10/02/27,00.36.09.69,37.75,15.013,0.98,3.1
08/09/27,13.19.34.53,37.753,15.006,1.4,1.5
