data,ora,Lat N,Long E,prof (km),Md
07/06/14,16.41.10.14,37.752,15.008,-3.0,1.2
08/01/08,12.05.18.82,37.704,14.962,-1.66,1.7
08/00/31,00.45.50.36,37.729,15.062,-1.6,1.5
04/01/13,03.47.58.38,37.747,15.013,-1.6,2.2
04/01/23,13.05.14.27,37.649,14.932,-1.6,2.7
07/01/13,03.47.49.45,37.721,15.031,-1.6,2.8
07/01/13,08.08.12.80,37.685,14.976,-1.6,2.7
07/01/14,05.50.51.03,37.667,15.021,-1.6,2.4
07/01/14,18.50.13.48,37.658,14.954,-1.6,2.8
07/01/16,22.23.17.63,37.726,15.001,-1.6,2.5
07/01/17,08.25.06.87,37.647,14.966,-1.6,3.3
10/02/27,14.00.44.75,37.856,15.187,-1.6,2.7
06/04/01,10.53.23.88,37.808,15.047,-1.6,1.6
12/05/09,11.55.03.87,37.81,15.06,-1.6,1.8
06/09/14,21.47.43.57,37.638,15.16,-1.6,2.4
07/09/14,13.57.20.50,37.628,15.122,-1.6,2.3
08/09/16,20.45.16.91,37.679,14.915,-1.6,1.5
09/12/06,05.23.22.01,37.738,15.134,-1.6,2.0
10/12/16,11.06.59.63,37.681,14.92,-1.6,1.8
04/14/21,21.39.39.01,37.641,15.067,-1.6,2.0
03/01/09,15.27.41.34,37.676,15.011,-1.59,2.3
07/01/13,00.30.41.84,37.775,15.005,-1.59,2.0
07/01/13,10.03.25.30,37.689,15.059,-1.59,2.7
07/01/14,00.06.05.50,37.724,14.947,-1.59,2.7
07/01/14,17.51.19.23,37.691,15.039,-1.59,2.6
07/01/14,19.30.04.31,37.678,14.959,-1.59,2.6
07/01/15,17.19.00.87,37.69,14.954,-1.59,2.4
07/01/15,21.22.27.25,37.719,14.998,-1.59,2.8
07/01/16,00.43.01.07,37.716,15.016,-1.59,2.8
08/01/11,05.33.47.79,37.72,14.889,-1.59,2.0
04/02/11,05.00.16.09,37.667,14.969,-1.59,2.5
10/02/27,01.53.01.99,37.778,15.03,-1.59,2.5
